model,bh,p100,p050,p010,p001,beta
Dem6_coarse,36,35,34,34,34,1.5778633558238984
Egr_coarse,25,20,18,15,13,0.17368797541900546
Elr_coarse,37,34,33,30,27,0.9885074886945417
Epr_coarse,38,36,36,36,36,0.7550751128505078
Err_coarse,39,38,38,38,35,0.7608399567070896
Przeworski_coarse,36,36,35,35,33,1.1564200209647129
W4_coarse,35,34,34,33,33,1.6588221801731025
W_old_coarse,33,33,32,31,31,0.8536448694719144
e_boix_regime_coarse,36,35,33,33,32,1.2602709869783748
gwf_demo_coarse,37,34,34,34,33,1.0891916237881534
gwf_military_coarse,9,9,9,5,5,0.5243221770003391
gwf_monarchy_coarse,8,8,8,7,7,0.9648144716754666
gwf_party_coarse,8,7,7,7,7,0.2429355869503505
gwf_personal_coarse,4,2,2,2,2,0.020021958586230976
l_pwd_a_coarse,39,37,34,34,33,1.1161629555580983
l_pwd_g_coarse,38,37,36,34,33,1.031418749293715
l_pwd_m_coarse,39,39,38,37,37,1.2714546369436326
normpolity_coarse,36,32,32,31,31,1.2657400619813495
support_coarse,38,37,37,37,36,1.8188579748452287
wb_urbpop_coarse,26,26,25,22,20,0.9210126585961331
