model,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic,meanbetap,meanbetaw
W4,0.0,0,0,0,0,31.0,26,25,25,24,0.0,0.0,,4.732
p1,25.0,5,3,2,2,0.0,0,0,0,0,0.0,0.0,2.4308571428571426,
p2,24.0,16,15,5,4,0.0,0,0,0,0,0.0,0.0,0.18085714285714286,
p3,31.0,12,7,3,3,0.0,0,0,0,0,0.0,0.0,2.572857142857143,
p4,25.0,18,17,7,4,0.0,0,0,0,0,0.0,0.0,0.182,
p5,12.0,4,2,2,1,0.0,0,0,0,0,0.0,0.0,0.2854285714285714,
p6,12.0,4,2,2,1,0.0,0,0,0,0,0.0,0.0,0.384,
W4+p1,24.0,6,4,2,2,31.0,27,27,23,21,10.0,18.0,2.413142857142857,3.916285714285714
W4+p2,15.0,6,6,3,3,31.0,26,25,25,24,13.0,14.0,0.1677142857142857,4.6411428571428575
W4+p3,27.0,7,5,2,2,31.0,27,27,23,21,15.0,23.0,2.4139999999999997,3.806
W4+p4,15.0,6,6,3,3,31.0,26,25,25,24,13.0,14.0,0.16885714285714287,4.636571428571429
W4+p5,12.0,4,2,2,2,31.0,27,27,24,21,7.0,12.0,0.2874285714285714,3.9259999999999997
W4+p6,12.0,5,2,2,2,31.0,27,27,24,21,7.0,12.0,0.38485714285714284,3.917142857142857
